579.403;246.353;St-Ursanne
576.266;250.537;Courgenay
572.944;252.296;Porrentruy
571.099;256.191;Courtemaîche
568.193;260.293;Boncourt
567.666;261.783;Delle
586.032;232.008;Pontenet
612.824;265.251;Basel Dreispitz
610.132;269.443;St-Louis Grenze
571.261;254.400;Courchavon
570.558;257.756;Grandgourt
569.196;258.809;Buix
611.212;266.089;Basel Bhfeingang Gundeldingen
612.000;265.713;Basel Heiliggeistkirche
596.274;226.763;Grenchen Nord
610.958;266.235;Basel IWB
611.712;265.812;Basel Tellplatz
575.312;230.219;Tramelan-Dessous
573.780;230.339;Tramelan-Chalet
571.040;230.194;Le Pied-d'Or
566.954;229.223;Les Breuleux-Eglise
565.691;232.630;Muriaux
574.774;230.263;Tramelan
573.099;230.429;Les Reussilles
568.685;230.020;La Chaux-des-Breuleux
567.161;228.924;Les Breuleux
563.511;230.418;Le Noirmont
562.269;228.178;Le Creux-des-Biches
560.857;227.162;Le Boéchet
559.637;225.242;Les Bois
558.728;221.445;La Ferrière
557.887;219.164;La Cibourg
558.907;223.508;La Large-Journée
559.053;222.558;La Chaux-d'Abel
554.343;217.118;La Chaux-de-Fonds-Est
576.587;252.639;Alle
578.735;255.789;Vendlincourt
578.649;258.173;Bonfol
611.460;265.961;Basel Solothurnerstrasse
565.672;231.369;Les Emibois
566.382;233.847;Saignelégier
567.882;234.793;Le Bémont
611.125;266.475;Basel Markthalle
571.262;236.317;Pré-Petitjean
574.390;237.169;La Combe
576.199;238.524;Bollement
578.815;240.363;Combe-Tabeillon
592.537;224.502;Pieterlen
594.536;225.388;Lengnau
596.934;226.425;Grenchen Süd
599.222;227.111;Bettlach
601.364;227.742;Selzach
605.245;228.665;Bellach
607.070;228.423;Solothurn West
607.884;228.143;Solothurn
610.975;229.589;Luterbach-Attisholz
613.655;229.714;Deitingen
616.478;231.248;Wangen an der Aare
619.386;235.531;Niederbipp
620.519;237.161;Oensingen
625.189;239.427;Oberbuchsiten
627.244;240.505;Egerkingen
630.627;242.234;Hägendorf
